name,tipologia,wikidata_id,wikidata_label,birth_year,death_year,matched_as,match_status
Accademia Nazionale dei Lincei,"Istituzioni, associazioni ed enti pubblici",Q338432,Accademia Nazionale dei Lincei,,,Accademia Nazionale dei Lincei [it],found_no_dates
Accademia Reale d'Italia,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
(Regia) Accademia Scientifico Letteraria,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Accetti Carlo E.,Contatti letterari,,,,,,not_found
Agenzia viaggi e navigazione Riboni,Varia,,,,,,not_found
Agosto Carlo,Varia,,,,,,not_found
Airoldi Aldo,Contatti letterari,Q117804627,Aldo Airoldi,,,Aldo Airoldi [en],found_no_dates
Albasini Scrosati Tagliasacchi Lena,Varia,,,,,,not_found
Albergo “Passo dello Stelvio”,Varia,,,,,,not_found
"Albergo Pensione Villa San Camillo, Forte dei Marmi",Varia,,,,,,not_found
Alberti Lucia e Guido,Contatti letterari,,,,,,not_found
Alberti Teresa,Varia,,,,,,not_found
Alberto Mondadori Editore,"Editori, riviste e quotidiani",,,,,,not_found
Alfred Lorentz,Varia,Q94898927,Alfred Lorentz,1841,1906,Alfred Lorentz [it],found
Alimento Mario,Ingegneria e divulgazione tecnica,,,,,,not_found
All'insegna del pesce d'oro (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Allemano Giuseppe,Contatti letterari,,,,,,not_found
Allodoli Ettore,Contatti letterari,Q3733863,Ettore Allodoli,1882,1960,Ettore Allodoli [it],found
Ambrosi E.,Varia,,,,,,not_found
Ambrosi Paolo,Familiari,Q116152663,Paolo Ambrosi,,,Paolo Ambrosi [it],found_no_dates
L'Ambrosiano,"Editori, riviste e quotidiani",Q3817896,L'Ambrosiano,,,L'Ambrosiano [it],found_no_dates
Amicucci Ermanno,Contatti letterari,Q799111,Ermanno Amicucci,1890,1955,Ermanno Amicucci [it],found
Ammonia Casale,Ingegneria e divulgazione tecnica,,,,,,not_found
Anceschi Luciano,Contatti letterari,Q3838517,Luciano Anceschi,1911,1995,Luciano Anceschi [it],found
Andres Stefan,Contatti letterari,Q68036,Stefan Andres,1906,1970,Stefan Andres [it],found
Angeletti G.B.,Ingegneria e divulgazione tecnica,,,,,,not_found
Angeli,Varia,Q408809,Angeli,,,Angeli [it],found_no_dates
Angeli Adolfo,Contatti letterari,,,,,,not_found
Angelini Cesare,Contatti letterari,Q1122570,Cesare Angelini,1886,1976,Cesare Angelini [it],found
Angioletti Giovanni Battista,Contatti letterari,Q609875,Giovanni Battista Angioletti,1896,1961,Giovanni Battista Angioletti [it],found
ANSA,Varia,Q295760,ANSA,,,ANSA [it],found_no_dates
Ansaldo,Ingegneria e divulgazione tecnica,Q290188,Ansaldo,,,Ansaldo [it],found_no_dates
Ansaldo Giuseppe,Ingegneria e divulgazione tecnica,Q27078378,Giuseppe Ansaldo,1807,1883,Giuseppe Ansaldo [it],found
Ansaldo Matteo,Ingegneria e divulgazione tecnica,,,,,,not_found
Ansaldo Pietro,Ingegneria e divulgazione tecnica,,,,,,not_found
Anselmi Aldo,Contatti letterari,,,,,,not_found
Antonelli G.V.,Varia,,,,,,not_found
Antongini Gianni,Varia,,,,,,not_found
Antonicelli Franco,Contatti letterari,Q3751115,Franco Antonicelli,1902,1974,Franco Antonicelli [it],found
Antonini Giacomo,Contatti letterari,Q3023996,Giacomo Antonini,1901,1983,Giacomo Antonini [it],found
Antonini Gianni,Contatti letterari,,,,,,not_found
Apollonio Umbro,Contatti letterari,Q29368501,Umbro Apollonio,1911,1981,Umbro Apollonio [it],found
Appenzeller E.,Varia,,,,,,not_found
L'Approdo Letterario,"Editori, riviste e quotidiani",,,,,,not_found
Arbasino Alberto,Contatti letterari,Q521191,Alberto Arbasino,1930,2020,Alberto Arbasino [it],found
Arcurio Bruno,Varia,,,,,,not_found
Ardigò Dina,Contatti letterari,,,,,,not_found
Ardigò Fausto,Contatti letterari,Q109876909,Fausto Ardigò,1911,1944,Fausto Ardigò [it],found
Aretusa,"Editori, riviste e quotidiani",Q230067,Aretusa,,,Aretusa [it],found_no_dates
Argomenti,"Editori, riviste e quotidiani",Q28670380,Argomenti,,,Argomenti [it],found_no_dates
Arrigoni Giuseppe,Varia,Q29401144,Giuseppe Arrigoni,1811,1867,Giuseppe Arrigoni [it],found
Arrigoni Giuseppe e Angela,Varia,,,,,,not_found
Arrowsmith William,Contatti letterari,Q2577884,William Arrowsmith,1924,1991,William Arrowsmith [it],found
Arte e società,"Editori, riviste e quotidiani",,,,,,not_found
Artoni Giancarlo,Contatti letterari,,,,,,not_found
Association Guillaume Budé,"Istituzioni, associazioni ed enti pubblici",Q743204,Association Guillaume Budé,,,Association Guillaume Budé [it],found_no_dates
Associazione Giosuè Carducci,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Associazione Goffredo Bellonci,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Associazione italiana di amici della musica,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Associazione italiana per i rapporti culturali con la Polonia,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Associazione italiana per la libertà della cultura,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Associazione per la diffusione del libro “Sodalizio del libro”,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Autocombattente,Varia,,,,,,not_found
Avetta Alessandro,Ingegneria e divulgazione tecnica,,,,,,not_found
Azienda Carboni Italiani,Varia,Q3631440,Azienda Carboni Italiani,,,Azienda Carboni Italiani [it],found_no_dates
Babacci Luigi,Ingegneria e divulgazione tecnica,,,,,,not_found
Bacchelli Riccardo,Contatti letterari,Q650303,Riccardo Bacchelli,1891,1985,Riccardo Bacchelli [it],found
Baggini Romano,Varia,,,,,,not_found
Baglia Conti Nina,Varia,,,,,,not_found
Bagnato Enrico,Varia,,,,,,not_found
Balbo Lorenzo,Varia,Q84559182,Lorenzo Balbo,,,Lorenzo Balbo [it],found_no_dates
Baldacci Luigi,Contatti letterari,Q3839296,Luigi Baldacci,,,Luigi Baldacci [it],found_no_dates
Baldini Antonio,Contatti letterari,Q599687,Antonio Baldini,1889,1962,Antonio Baldini [it],found
Ballo Ferdinando,"Editori, riviste e quotidiani",Q55225275,Ferdinando Ballo,1906,1959,Ferdinando Ballo [it],found
Balzaretti Lina,Varia,,,,,,not_found
Banca Commerciale Italiana,Varia,Q2882013,Banca Commerciale Italiana,,,Banca Commerciale Italiana [it],found_no_dates
Banca Italo-Britannica,Varia,,,,,,not_found
Banca Popolare Cooperativa Anonima di Novara,Varia,,,,,,not_found
Banco di Santo Spirito,Varia,Q2520872,Banco di Santo Spirito,,,Banco di Santo Spirito [it],found_no_dates
Banco Italo-Sud Americano,Varia,,,,,,not_found
Banti Anna,Contatti letterari,Q470147,Anna Banti,1895,1985,Anna Banti [it],found
Barassi Ermanno,Varia,,,,,,not_found
Barbiano di Belgioioso Gavazzi Ernestina,Varia,,,,,,not_found
Barbieri Enrico,Varia,Q113562338,Enrico Barbieri,1818,1888,Enrico Barbieri [it],found
Bargellini Piero,Contatti letterari,Q3903157,Piero Bargellini,1897,1980,Piero Bargellini [it],found
"Barni Ferruccio, Paola e Gianluigi",Varia,,,,,,not_found
Bartolini Luigi,Contatti letterari,Q172346,Luigi Bartolini,1892,1963,Luigi Bartolini [it],found
Bassani,Varia,Q810468,Bassani,,,Bassani [it],found_no_dates
Bassani Giorgio,Contatti letterari,Q318309,Giorgio Bassani,1916,2000,Giorgio Bassani [it],found
Bassani Valeria,Contatti letterari,,,,,,not_found
"Bassani, G. L.",Varia,,,,,,not_found
Bassi Silvio,Varia,,,,,,not_found
Bauer Willy,Varia,Q8022528,Willy Bauer,1947,,Willy Bauer [it],found
Bazlen Bobi,Contatti letterari,,,,,,not_found
Becker Fehr & C.,Varia,,,,,,not_found
Becker L.W.,Varia,,,,,,not_found
Bellonci Maria,Contatti letterari,Q1080026,Maria Bellonci,1902,1986,Maria Bellonci [it],found
Belloni Mario,Varia,,,,,,not_found
Beltrami Fausto,Varia,,,,,,not_found
Beltrami Veneziani Giuliana,Contatti letterari,,,,,,not_found
Benco Silvio,Contatti letterari,Q3960835,Silvio Benco,1874,1949,Silvio Benco [it],found
Benedetti Arrigo,Contatti letterari,Q3623758,Arrigo Benedetti,1910,1976,Arrigo Benedetti [it],found
Benedetti Giulio,Contatti letterari,Q3769498,Giulio Benedetti,1893,1969,Giulio Benedetti [it],found
Benvenutti Angelina,Varia,,,,,,not_found
Benzoni Gina,Varia,,,,,,not_found
Berenson Bernard,Contatti letterari,Q359047,Bernard Berenson,1865,1959,Bernard Berenson [it],found
"Bernasconi, eredi",Varia,,,,,,not_found
Bertani e C. Industrie elettriche milanesi,Varia,,,,,,not_found
Bertoloni Angela,Varia,,,,,,not_found
Bertolucci Attilio,Contatti letterari,Q758132,Attilio Bertolucci,1911,2000,Attilio Bertolucci [it],found
Bertolucci Giuseppe,Contatti letterari,Q988072,Giuseppe Bertolucci,1947,2012,Giuseppe Bertolucci [it],found
Bertoni Luigi,Contatti letterari,Q131928,Luigi Bertoni,1872,1947,Luigi Bertoni [it],found
Besozzi Carlo,Amici,Q3659077,Carlo Besozzi,1738,1791,Carlo Besozzi [it],found
Besozzi Maria,Varia,,,,,,not_found
Besozzi Sandro,Varia,,,,,,not_found
Betocchi Carlo,Contatti letterari,Q2246931,Carlo Betocchi,1899,1986,Carlo Betocchi [it],found
Betti Ugo,Compagni di guerra e di prigionia,Q919103,Ugo Betti,1892,1953,Ugo Betti [it],found
